"Word","Auditory.mean","Gustatory.mean","Haptic.mean","Interoceptive.mean","Olfactory.mean","Visual.mean"
"A",2.214,0,0.429,0,0,2.429
"A CAPPELLA",4.333,0,0.222,0.722,0,1.667
"AARDVARK",1.625,0.562,1.625,0.062,1.25,4.125
"ABACK",1.294,0.059,0.294,1.353,0,2.824
"ABACUS",1.556,0.167,3.722,0.278,0.111,3.944
"ABANDON",0.941,0.118,0.294,2.118,0.059,2.176
"ABANDONED",1.444,0,0.056,1.667,0,2.778
"ABANDONEE",1.938,0,1.375,0.562,0.25,3.938
"ABANDONER",0.571,0,0.143,1.643,0,2.214
"ABANDONMENT",2.133,0.067,1.2,2.933,0.067,3
"ABASEMENT",2.833,0.167,0.667,1.25,0.167,3
"ABBREVIATE",2.4,0,0.15,0.45,0,2.65
"ABBREVIATED",1.889,0,0.278,0.444,0,3.111
"ABBREVIATION",2.737,0.053,0.158,0.474,0,3.947
"ABDICATE",2.333,0.167,0.167,0.417,0.25,3.25
"ABDOMEN",0.588,0.235,3.294,2.353,0.235,3.647
"ABDOMINAL",0.933,0.2,3.2,2.733,0.2,3.8
"ABDOMINALLY",0.412,0.471,0.882,2.059,0.176,1.353
"ABDUCT",1.737,0,1,0.579,0.105,2.895
"ABDUCTEE",1.25,0.1,0.6,0.55,0.1,2.9
"ABDUCTION",2.059,0,1.529,2.176,0,4
"ABDUCTOR",2.353,0.294,1.824,0.941,0.353,3.059
"ABHOR",1.696,0,0.174,2.087,0.174,1.783
"ABHORRENCE",1.312,0.188,0.5,2.75,0.438,1.5
"ABHORRENTLY",2.267,0.867,0.467,2.733,1,2.267
"ABHORRING",1,0.2,0,3.2,0.2,1.4
"ABIDE",1.188,0.062,0.438,1.188,0.188,1.688
"ABIDING",0.533,0.133,0.133,1.467,0.2,0.6
"ABIDINGLY",1.583,0.083,0.167,1.583,0.083,1.75
"ABILITY",1.222,0.278,0.833,2.556,0.167,2
"ABLAZE",1.471,0,1.118,0.824,0.941,3.706
"ABLE",1.133,0.933,1.267,3.067,0.667,2
"ABLY",1.176,0,0.235,1.176,0,2.529
"ABNORMAL",1.895,1.263,2,2.053,1.526,3
"ABNORMALITY",1.421,0.684,1.842,1.526,0.789,3.053
"ABNORMALLY",1.056,0.444,1.111,2.389,0.444,2.556
"ABOARD",1.19,0,0.714,0.714,0.238,2.857
"ABODE",0.867,0.133,2.067,0.733,1.2,3.6
"ABOLISH",2.12,0.24,0.96,1.12,0.16,2.32
"ABOLISHABLE",1.667,0,0.4,0.467,0,2.067
"ABOLISHER",0.643,0.143,0.429,0.643,0.286,2.286
"ABOLISHMENT",2.294,0,0.294,0.294,0,2.882
"ABOLITION",0.727,0,0.273,1.182,0,1.273
"ABOLITIONISM",2,0.059,0.118,0.824,0.059,1.765
"ABOLITIONIST",2,0.083,0.5,0.417,0.167,2.167
"ABOMINABLE",1.882,0.294,0.471,1.294,0.118,2.471
"ABOMINABLENESS",2.727,0.455,0.636,1.636,0.545,3.727
"ABOMINABLY",1.583,0.583,0.583,1.25,0.75,2.833
"ABOMINATE",1.174,0.478,0.696,1.304,0.478,2.522
"ABOMINATION",1.75,0.05,0.35,1.35,0.15,3.2
"ABORIGINAL",2.588,0.059,0.176,0.059,0.294,3.824
"ABORT",2.062,0,0.375,1.5,0,2.812
"ABORTED",1.632,0.526,0.895,1.263,0.579,3
"ABORTION",0.824,0.059,0.706,2.471,0.118,2.235
"ABORTIONIST",1.667,0,0.444,0.667,0,2.722
"ABORTIVE",1.571,0,0.143,0.5,0,2.214
"ABORTIVELY",1.267,0,0.267,0.867,0,1.733
"ABOUND",0.312,0.25,0.25,0.625,0.188,1.5
"ABOUNDING",0.562,0.375,0.5,0.625,0.062,1.688
"ABOUT",1.438,0,0.125,0.438,0,1.188
"ABOVE",0.294,0,0.471,0.824,0,3.235
"ABOVE ALL",0.55,0,0.55,1.05,0,1
"ABOVEBOARD",2.176,0.118,0.176,1.294,0.235,3.235
"ABOVEGROUND",1.15,0,0.75,0.45,0.45,4.4
"ABOVEMENTIONED",1.333,0.067,0.2,0.067,0.133,2.067
"ABRACADABRA",1.857,0,0,0.357,0,1.071
"ABRASION",0.706,0.176,3.294,1.647,0,2.412
"ABRASIVE",1.333,0.467,4.267,0.8,0.4,2
"ABRASIVELY",1.882,0,3.118,1.059,0,1.588
"ABRASIVENESS",2.05,0.35,3.65,1.55,0.05,2
"ABREAST",0.333,0,0.733,0.467,0,3.133
"ABRIDGE",1.417,0.25,0.333,0.333,0.25,1.75
"ABRIDGED",1.333,0,0.333,0.133,0,2.467
"ABRIDGMENT",0.846,0.231,0.538,0.538,0.308,2.154
"ABROAD",1.684,0.789,0.842,0.684,0.947,2.842
"ABRUPT",2.368,0,0.632,1.579,0,2
"ABRUPTLY",3.059,0.059,0.471,1,0.059,3.882
"ABRUPTNESS",3.278,0.056,1.056,1.444,0.056,3
"ABSCESS",0.15,0.45,2.85,2.6,1.05,4
"ABSCESSED",0.294,1.294,2.647,3.235,1.941,3.882
"ABSENCE",1.737,0.632,1.053,1.421,0.684,3.211
"ABSENT",1.486,0.459,0.865,0.919,0.324,3.243
"ABSENTEE",0.767,0,0.167,0.533,0,2.2
"ABSENTEEISM",0.867,0,0.067,0.267,0,1.8
"ABSENTLY",0.81,0.238,0.667,1.714,0.19,2.095
"ABSENTMINDED",1.824,0,0.176,2.235,0,2.647
"ABSENTMINDEDLY",1.438,0.312,0.312,1.75,0.25,1.438
"ABSENTMINDEDNESS",1.118,0,0.294,2.235,0.059,2
"ABSENTNESS",0.682,0.227,0.682,1.091,0.364,3.227
"ABSINTHE",0.077,4.231,0.846,2.462,2.538,2.846
"ABSOLUTE",1.562,0.062,0.688,1.625,0.062,1.812
"ABSOLUTELY",1.222,0.111,0.278,1.5,0.111,1.889
"ABSOLUTENESS",2.375,0.312,0.5,1.688,0.312,2.562
"ABSOLUTION",0.947,0.053,0.053,1.368,0.053,1.211
"ABSOLUTISM",1.308,0,0.077,0.769,0,0.692
"ABSOLUTIST",2.692,0.385,0.692,0.923,0.385,1.846
"ABSOLVABLE",1.733,0,0.133,1.267,0,2.133
"ABSOLVE",2.118,0,0.294,1.471,0,1.353
"ABSORB",0.333,0.194,2.194,0.917,0.056,3.389
"ABSORBABILITY",0.643,0.643,2.25,0.821,0.429,3.393
"ABSORBABLE",0.4,0.2,2.1,0.65,0.2,3.2
"ABSORBED",0.947,0.368,1.368,2.368,0.158,2.474
"ABSORBENCY",0.158,0.053,2.211,0.316,0.211,2.526
"ABSORBENT",0.5,0.125,2.812,0.312,0.188,3.375
"ABSORBER",1.188,0.25,2.625,0.812,0.438,3.375
"ABSORBING",0.65,0.4,1.6,1.35,0.2,2.5
"ABSORBINGLY",0.529,0.353,1.471,0.765,0.353,2.412
"ABSORPTION",0.714,0.714,2.286,2.071,0.357,3
"ABSORPTIVENESS",0.2,0.067,2.333,0.533,0.133,3.333
"ABSTAIN",0.688,0.5,0.625,2.125,0.312,1.125
"ABSTAINER",1.438,0.062,0.188,0.812,0.312,2.188
"ABSTENTION",1,0,0,0.3,0,1.3
"ABSTINENCE",1.263,0.263,0.684,2.105,0.263,1.579
"ABSTINENT",0.789,0.158,0.947,1.895,0.105,1.263
"ABSTINENTLY",1.267,0.533,0.933,1.2,0.467,2.2
"ABSTRACT",1.158,0.263,1.105,1.053,0.158,3.579
"ABSTRACTED",1.267,0,0.4,0.8,0,2.333
"ABSTRACTEDLY",1.188,0.25,0.438,0.938,0.062,2.75
"ABSTRACTEDNESS",1.941,0.118,0.765,1.118,0.176,3.059
"ABSTRACTION",1.375,0,0.312,0.688,0.062,2.5
"ABSTRACTIONISM",2.364,0.091,0.545,1,0.091,4
"ABSTRACTIONIST",0.583,0.167,0.417,0.75,0.417,2.917
"ABSTRACTIVE",1.688,0.312,0.75,0.875,0.312,2.938
"ABSTRACTLY",1.667,0.278,0.556,2.167,0.222,2.833
"ABSTRACTNESS",1.875,0.062,1,1.812,0.125,3.438
"ABSURD",3.562,0.125,0.312,1.375,0.125,2.75
"ABSURDITY",2.765,0.118,0.118,1.647,0.118,2.882
"ABSURDLY",2.556,0.333,0.389,1.667,0.5,2.389
"ABSURDNESS",2.667,0.067,0.467,1.6,0.133,3.4
"ABUNDANCE",0.824,0.647,1.882,0.412,0.412,4.353
"ABUNDANT",1.357,0.357,1.5,0.929,0.429,3.786
"ABUNDANTLY",1.227,0.227,1.136,0.727,0.273,3.545
"ABUSE",3,0.1,2.7,2.65,0.05,4.2
"ABUSER",3.111,0.444,3.5,2.111,0.833,3.056
"ABUSIVE",2.15,0,1.6,2.25,0,3.15
"ABUSIVELY",2.556,0,0.889,1.556,0,3.333
"ABUSIVENESS",3.053,0.053,2.316,1.947,0,3.421
"ABYSMALLY",2,0.3,0.5,1.533,0.433,2.333
"ABYSS",1.533,0.067,0.667,2.067,0.067,3.867
"ACADEMIA",1.778,0.111,0.167,0.889,0.111,2.444
"ACADEMIC",1.286,0.071,0.071,0.357,0.143,2.214
"ACADEMIC YEAR",1.167,0.306,0.778,1.111,0.333,1.889
"ACADEMICALLY",2.4,0.05,0.4,1.25,0.25,3
"ACADEMY",1.167,0.056,0.389,0.444,0.056,3.611
"ACCELERANT",0.579,0.053,0.737,1.053,1,2.211
"ACCELERATE",1.684,0,1.211,2.474,0.158,2.684
"ACCELERATED",1.5,0,1.056,2.611,0.167,2.667
"ACCELERATION",2.529,0.412,1.765,2.118,0.706,3.882
"ACCELERATIVE",1.933,0.267,0.733,1,0.2,3.133
"ACCELERATOR",2.25,0,1.25,1.65,0.05,2.5
"ACCELERATORY",1.9,0,1,2.5,0,2.8
"ACCELEROMETER",0.263,0,1.105,0.211,0,3.368
"ACCENT",4.053,0.474,0.211,0.211,0.263,0.737
"ACCENTUALLY",1.312,0,0.062,0,0,0.562
"ACCENTUATE",2.929,0.5,0.786,0.857,0.5,2.571
"ACCENTUATION",2,0.312,0.438,0.375,0.188,1.625
"ACCEPT",2.529,0.059,1.294,1.765,0.235,2.765
"ACCEPTABILITY",1.056,0,0.611,1.944,0.111,1.667
"ACCEPTABLE",2.163,1.279,1.209,2.419,1.279,2.907
"ACCEPTABLENESS",1.947,0.421,1.053,1.579,0.632,3.263
"ACCEPTABLY",1.944,0.444,0.833,1.111,0.222,2.222
"ACCEPTANCE",2.941,0.235,1.118,2.882,0.353,2.882
"ACCEPTANT",2.15,0.25,0.75,1.05,0.05,2.4
"ACCEPTED",2.2,0.4,0.85,3,0.35,2.75
"ACCEPTOR",1.8,0,0.533,0.267,0,3.067
"ACCESS",1.1,0.45,1.25,0.75,0.35,2.35
"ACCESSIBILITY",1.062,0,1.125,0.625,0,3
"ACCESSIBLE",0.579,0.316,0.737,0.579,0.158,3.211
"ACCESSIBLY",0.588,0,1.059,0.412,0,3.529
"ACCESSORIZE",0.778,0.167,2.056,0.333,0.111,3.722
"ACCESSORY",0.824,0.118,2.529,0.235,0.235,4.176
"ACCIDENT",3.312,0,1.062,1.312,0.312,4.375
"ACCIDENTAL",1.85,0.25,0.85,1.3,0.6,3.15
"ACCIDENTALLY",1.667,0.278,1,1.389,0.5,2.611
"ACCIDENTLY",2.062,0.125,0.375,0.875,0.125,2.75
"ACCLAIM",2.5,0.286,0.643,1.286,0.214,2.714
"ACCLAIMER",3.636,0.273,0.455,0.545,0.364,3.364
"ACCLAMATION",1.786,0.214,0.429,1.286,0.071,1.571
"ACCLIMATE",0.529,0.059,0.471,2.412,0.176,2.118
"ACCLIMATION",1.438,0.875,0.812,2.125,0.688,1.75
"ACCLIMATIZATION",0.733,0.4,0.8,2.267,0.333,1.6
"ACCLIMATIZE",0.333,0.167,0.083,2.083,0.083,2
"ACCOLADE",3.286,0,0.429,0.643,0,2.714
"ACCOMMODATE",1.111,0.278,0.889,0.944,0.333,2.5
"ACCOMMODATING",1.9,0,0.35,1.05,0.05,1.8
"ACCOMMODATINGLY",1.5,0.312,0.25,1.062,0.188,2
"ACCOMMODATION",1.3,0.05,0.9,1.05,0.25,2.95
"ACCOMMODATIVE",2.4,0.2,0.4,0.867,0.2,3.133
"ACCOMMODATOR",2.467,0.067,0.133,0.933,0.067,3.267
"ACCOMPANIER",1.619,0.143,0.476,0.19,0.238,2.81
"ACCOMPANIMENT",2.462,0.231,0.615,0.923,0.231,2.846
"ACCOMPANY",1.235,0.412,1.118,1.176,0.176,2.941
"ACCOMPLICE",1.611,0.056,1.056,1.111,0.556,2.722
"ACCOMPLISH",1.5,0.556,1.056,2.333,0.778,2.111
"ACCOMPLISHABLE",1.737,0,0.421,1.579,0,2.368
"ACCOMPLISHED",1.789,0.132,0.316,2.184,0.079,2.632
"ACCOMPLISHER",1.167,0.167,0.278,0.722,0.167,2.611
"ACCOMPLISHMENT",1.833,0.056,0.278,2.556,0.111,3.333
"ACCORD",0.867,0.067,0.067,0.733,0.067,0.933
"ACCORDANCE",1.65,0.05,0.3,1.2,0.05,2
"ACCORDANTLY",1.074,0.185,0.63,0.963,0.185,2.148
"ACCORDING",2.5,0.375,0.25,0.5,0.375,1.625
"ACCORDINGLY",1.875,0.188,0.25,0.938,0.188,2.25
"ACCORDION",4.632,0.158,2.632,0.895,0.211,3.526
"ACCORDIONIST",3.333,0.167,0.556,0.389,0.222,2.889
"ACCOSTED",1.824,0,0.941,1.294,0,2.765
"ACCOUNT",2.017,0.462,0.811,0.829,0.512,2.664
"ACCOUNTABILITY",1.95,0.4,0.65,1.9,0.45,2.2
"ACCOUNTABLE",1.667,0.067,0.667,1.467,0,1.667
"ACCOUNTABLENESS",2.059,0,0.471,1.176,0,1.941
"ACCOUNTABLY",2.053,0.105,0.474,1.211,0.211,2.684
"ACCOUNTANCY",0.933,0.267,1.133,0.267,0.267,3
"ACCOUNTANT",2,0,0.444,0.111,0.167,3.944
"ACCOUNTING",1.591,0.364,0.818,0.545,0.364,2.773
"ACCREDIT",1.882,0.706,0.824,1.353,0.412,2.471
"ACCREDITATION",1.4,0,0.133,0.133,0,2.133
"ACCREDITED",1.588,0,0,0.471,0,2.706
"ACCRUE",0.824,0.059,0.647,0.529,0.059,2.529
"ACCRUEMENT",0.727,0,0.636,0.545,0,3.273
"ACCUMULATE",1.267,0.067,2.333,0.333,0.267,3.733
"ACCUMULATION",0.579,0.263,1.105,0.789,0.158,3.158
"ACCUMULATIVE",1.333,0.389,1.556,0.611,0.389,3.056
"ACCUMULATIVELY",1.471,0.412,1.118,0.882,0.471,3.059
"ACCUMULATIVENESS",0.538,0.077,0.769,0.538,0.077,2.231
"ACCUMULATOR",1,0,0.308,0.231,0.231,2.615
"ACCURACY",2.278,0.667,1.111,0.5,0.667,4.222
"ACCURATE",2.027,0.622,1.622,1.135,0.622,3.324
"ACCURATELY",1.562,0.25,0.812,0.562,0.25,2.812
"ACCURATENESS",1.632,0.368,0.421,1.053,0.526,3.105
"ACCURSED",2.043,0.13,0.391,1.522,0.13,2.261
"ACCUSABLE",2.316,0,0,0.263,0,1.895
"ACCUSATION",4.188,0.125,0.062,0.625,0.125,1.562
"ACCUSATIVE",2.882,0.118,0.059,1,0,1.941
"ACCUSATIVELY",3.278,0.222,0.167,1.111,0.111,2
"ACCUSATORIAL",3.231,0,0,0.231,0,2.154
"ACCUSATORY",3.059,0,0.353,1.588,0.118,2.529
"ACCUSE",3.647,0.235,0.118,1.235,0.176,1.588
"ACCUSED",3.647,0,0.176,1.588,0,2.824
"ACCUSER",3.562,0.312,0.688,1.5,0.312,3.375
"ACCUSINGLY",3.333,0.061,0.273,1.333,0.03,1.97
"ACCUSTOM",1.35,0.7,0.9,1.8,0.55,1.95
"ACCUSTOMED",1.278,0.5,0.556,2.056,0.5,1.889
"ACE",0.438,0,0,0.375,0,2.062
"ACETAMINOPHEN",0.438,2.062,1.938,3.438,0.375,3.25
"ACETONE",0.529,0.412,0.765,0.059,3.118,2.471
"ACETYLENE",0.818,0.545,0.636,0,1.909,1.545
"ACHE",1,0.062,1.188,4.375,0.062,1.062
"ACHIEVABLE",0.45,0,0.25,1.9,0.05,2.45
"ACHIEVE",0.824,0.059,0.294,2.588,0.059,1.471
"ACHIEVEMENT",2.235,0.118,0.412,2.176,0.118,3.647
"ACHIEVER",1.944,0,0.611,2.278,0,3.111
"ACHINESS",0.667,0,2.333,4.667,0,0.667
"ACHING",0.576,0.03,1.667,4.212,0.03,0.879
"ACHINGLY",0.8,0,1.1,3.9,0,1
"ACHY",0.421,0,2,4.263,0,0.632
"ACID",0.824,0.941,1.176,1.824,1.706,2.706
"ACID RAIN",1.529,0.941,1.353,0.353,1.588,3.235
"ACID TEST",0.812,1.25,2.062,1.625,1.188,3.125
"ACIDIC",0.222,3.444,1.556,1.389,2.5,1.944
"ACIDIFICATION",0.077,1,0.692,1.231,0.154,1.385
"ACIDIFY",0.684,1.211,0.684,0.579,1.053,2.895
"ACIDITY",0.667,3.143,1.429,1.381,1.429,2.048
"ACIDLY",1.533,0.6,0.4,1,0.667,1.533
"ACIDOMETER",0.4,0.3,1.7,0.5,0.65,2.9
"ACKNOWLEDGE",2.875,0,0.438,1.75,0.125,2.438
"ACKNOWLEDGEABLE",2.4,0.267,0.333,1.067,0.467,2.067
"ACKNOWLEDGED",2.743,0.171,0.4,1.314,0.171,2.686
"ACKNOWLEDGEMENT",2.833,0,0.333,1.222,0,3.222
"ACNE",0.353,0,2,0.529,0.176,3.824
"ACORN",0.8,1.267,3.067,0.133,0.867,3.933
"ACOUSTIC",3.824,0.118,0.294,0.588,0.118,1
"ACOUSTICAL",3.882,0.529,1.059,0.882,0.529,1.647
"ACOUSTICALLY",4.533,0,0.133,0.667,0,0.667
"ACOUSTICS",3.812,0.125,0.688,0.812,0.125,1
"ACQUAINT",2.2,0.067,0.6,1.267,0.067,3.333
"ACQUAINTANCE",3.15,0.15,1.25,0.25,0.4,4.25
"ACQUAINTED",1.611,0,0.667,1.444,0.111,1.944
"ACQUIESCE",2.5,0.3,0.5,2.4,0.3,3.2
"ACQUIESCENTLY",2.154,0.462,0.385,1.308,0.385,2.308
"ACQUIRABLE",0.889,0.444,1.111,1.222,0.333,2.389
"ACQUIRE",0.824,0.647,2.176,1,0.588,2.824
"ACQUIRED",1.947,0.737,1.895,0.789,0.632,3.368
"ACQUIREMENT",1.118,0.882,1.765,0.765,0.588,2.647
"ACQUIRER",1.474,0.316,0.632,0.579,0.105,2.632
"ACQUISITION",1.105,0.158,1,0.421,0.263,2.842
"ACQUISITIVE",1.083,0,0.583,1.083,0,2.25
"ACQUISITIVELY",1.636,0.818,1.182,1.636,0.727,2
"ACQUIT",2.8,0.133,0.267,0.267,0,2.267
"ACQUITTAL",2.824,0.235,0.353,1.059,0.235,2.824
"ACQUITTER",1.556,0.056,0.278,0.556,0.111,1.611
"ACRE",0.6,0.05,0.8,0.4,0.25,3.45
"ACRID",0.25,2,0.5,0.417,3.417,0.417
"ACRIMONIOUSLY",2.875,0.312,0.5,1.188,0.312,2.438
"ACROBAT",1.222,0,0.722,0.778,0,4.167
"ACROBATIC",0.438,0.062,1,1.062,0.062,3.25
"ACROBATICALLY",1.071,0,1.286,1.357,0,3.571
"ACROBATICS",1,0.278,0.5,0.722,0.444,3.778
"ACRONYM",2.733,0.067,0.067,0.267,0.067,3.133
"ACROPHOBIA",0.083,0,0.417,3.75,0,1.333
"ACROSS",0.739,0,0.435,0.217,0,3.696
"ACRYLIC",0.5,0.111,2.722,0.222,1.167,3.333
"ACT",2.571,0.238,0.571,0.81,0.238,3.19
"ACT ON",1.647,0.235,0.529,1.471,0.294,2.824
"ACT OUT",2.1,0.1,0.65,1.8,0.15,2.75
"ACT UPON",1.65,0,0.8,1.7,0.15,2.5
"ACTING",3.118,0.059,0.824,1.176,0,4
"ACTION",2.625,0.25,1,2.312,0.312,4.062
"ACTIONABLE",1.143,0.429,0.929,1.5,0.286,2.929
"ACTIVATE",1.583,0.042,1.417,0.708,0.042,3
"ACTIVATION",1.474,0.474,1.684,0.842,0.368,2.474
"ACTIVATOR",1.409,0.045,1,0.727,0.136,3.091
"ACTIVE",1.333,0.111,0.778,2.667,0.278,3.722
"ACTIVELY",1.444,0.444,1,1.611,0.389,3
"ACTIVENESS",1.412,0,0.353,2.706,0.176,3.471
"ACTIVISM",2.5,0.1,0.2,0.95,0.2,2.55
"ACTIVIST",2.4,0.1,0.25,0.8,0.2,3.2
"ACTIVITY",3.118,0.529,1.824,2.294,0.941,3.824
"ACTOR",4.235,0.235,1.118,0.824,0.235,4.647
"ACTRESS",3.15,0.15,0.5,0.65,0.4,3.95
"ACTS",1.688,0.188,0.375,0.625,0.062,2.25
"ACTUAL",2.222,0.444,1.333,1.333,0.389,3.389
"ACTUALITY",1.786,0.571,0.643,1.143,0.571,2.643
"ACTUALIZATION",1.556,0.222,0.889,2,0.111,2.778
"ACTUALIZE",0.368,0.211,0.895,1.526,0.263,1.947
"ACTUALLY",0.95,0.1,0.35,0.85,0.1,1.1
"ACTUARIAL",1.188,0,0.125,0.25,0,1.375
"ACUPRESSURE",0.111,0,2.889,2.833,0.056,1.778
"ACUPUNCTURE",0.286,0,4.238,2.667,0.143,2.476
"ACUPUNCTURIST",1.526,0,3.105,2.737,0.211,3.316
"ACUTE",1.059,0.353,1.176,1.471,0.471,2
"ACUTELY",0.929,0.357,0.714,0.571,0.429,1.571
"ACUTENESS",1.75,0.25,0.562,1.938,0.375,2.375
"AD",3.944,0,0.333,0.167,0,4.222
"ADAGE",3.769,0,0,0.308,0,1.615
"ADAMANT",3.6,0.533,0.667,1.933,0.533,2.533
"ADAMANTLY",2.667,0,0.111,1,0,2.167
"ADAPT",1.812,0.188,0.375,1.062,0.125,3.125
"ADAPTABILITY",0.412,0,0.765,1.529,0,1.765
"ADAPTABLE",1.647,0.588,0.647,1.412,0.529,3.059
"ADAPTATION",2.25,0.375,0.875,1.5,0.312,3.5
"ADAPTER",0.571,0.143,2.095,0.524,0.048,3.476
"ADAPTION",1.353,0.235,0.941,1.118,0.471,2.176
"ADAPTIVE",1.559,0.235,0.794,1.353,0.382,2.412
"ADAPTIVELY",1.588,0,0.706,1.353,0,2.529
"ADAPTOR",0.812,0.312,2.125,0.5,0.312,3.688
"ADD",0.739,0.043,0.435,1.478,0.043,2.478
"ADD ON",0.706,0.118,0.824,0.353,0.059,2.235
"ADD UP",1.316,0.105,0.947,0.263,0.053,1.947
"ADDED",2.118,0.471,0.647,0.353,0.353,3.588
"ADDENDUM",1.933,0.033,0.2,0.133,0.033,3.067
"ADDICT",1.562,0.75,0.938,2.25,0.938,3.312
"ADDICTED",0.944,0.722,0.444,3.5,0.667,1.278
"ADDICTEDNESS",1.2,1.05,0.9,3.15,0.55,3.2
"ADDICTION",0.938,0.625,0.312,3.625,0.375,1.75
"ADDICTIVE",0.632,0.947,0.421,3.579,0.474,1.526
"ADDICTIVENESS",0.722,0.944,0.278,3.833,0.611,2.667
"ADDITION",1.275,0.175,0.5,0.425,0.125,3.325
"ADDITIONAL",1.303,0.455,1.03,0.818,0.485,3.061
"ADDITIONALLY",1.684,0.105,0.263,0.474,0.105,1.789
"ADDITIVE",0.529,2.294,0.824,0.941,1.294,2.353
"ADDITIVELY",0.615,0.154,0.385,0.385,0.308,1
"ADDRESS",1.882,0,0.118,0.176,0.059,3.941
"ADDRESSABLE",1.846,0.154,0.154,0.769,0.077,2.385
"ADDRESSBOOK",0.167,0,2.611,0,0,4
"ADDRESSEE",1.571,0,0,0.143,0,3.357
"ADDRESSER",3.133,0,0.8,0.333,0,2.867
"ADDRESSOR",2.5,0,0.25,0,0,2.312
"ADEPT",1.533,0.133,0.733,1.267,0.067,2.267
"ADEPTLY",1.583,0.75,1,2.167,0.5,2.333
"ADEPTNESS",1.778,0.056,0.778,1.889,0.111,2.944
"ADEQUACY",1.238,0.095,0.095,1.19,0.19,2.238
"ADEQUATE",2,0.059,0.647,1.588,0.059,3.059
"ADEQUATELY",1.5,0.444,1.056,1.389,0.389,2.167
"ADEQUATENESS",1.071,0.286,0.5,1.786,0.214,1.643
"ADHERE",1.176,0.176,1.353,1.412,0.235,2.353
"ADHERENCE",3.2,0.933,1.267,1.867,0.8,3.733
"ADHERENT",1.846,0.154,0.846,0.769,0.077,2.385
"ADHERENTLY",1.692,0,0.615,0.846,0,2.231
"ADHESION",0.938,0,2.5,0.688,0.25,3.438
"ADHESIVE",0.611,0.056,3.722,0.889,1.333,3.667
"ADHESIVELY",0.5,0.455,2.909,0.182,0.318,2
"ADHESIVENESS",0.312,0,3.375,0.125,0,3.188
"ADJACENT",0.889,0.111,1.333,0.167,0.333,4.222
"ADJACENTLY",1,0.294,2.059,0.529,0.353,3.529
"ADJECTIVALLY",1.786,0,0.5,1,0,2.071
"ADJECTIVE",2.1,0.35,0.3,0.35,0.35,2.3
"ADJOIN",0.733,0.133,1.2,0.6,0.133,2.733
"ADJOINED",0.889,0.389,1.833,0.778,0.278,3.889
"ADJOINING",1.267,0.467,1.333,0.667,0.533,3.533
"ADJOURN",1.727,0.273,0.364,0.455,0.364,1.455
"ADJOURNMENT",3.25,0.188,0.75,0.75,0.188,2.5
"ADJUDICATE",2.769,0,0.154,0.615,0,1.846
"ADJUDICATION",2.5,0,0,0.667,0,1.333
"ADJUNCT",1.733,0.267,0.8,0.333,0.2,2.133
"ADJUST",1.278,0.111,2.5,1.167,0.056,3.056
"ADJUSTABILITY",0.789,0.263,1.421,0.895,0.316,2.316
"ADJUSTABLE",0.842,0.105,3,0.632,0.211,3.947
"ADJUSTABLY",1.647,0.765,2.706,2.059,0.588,3.118
"ADJUSTER",1.588,0.176,1,0.059,0.235,2.529
"ADJUSTMENT",0.895,0.368,1.842,0.842,0.526,3.158
"ADJUSTOR",2,0.15,0.75,0.45,0.2,2.65
"ADMIN",1.75,0.1,0.4,0.55,0.2,2.5
"ADMINISTER",2.444,0.056,1.444,0.944,0,3.667
"ADMINISTRABLE",1.458,0.25,0.5,1.25,0.208,2.458
"ADMINISTRATE",2.188,0.062,0.125,0.438,0.062,2.562
"ADMINISTRATION",2.188,0,0.125,0.938,0,3.438
"ADMINISTRATIONAL",1.882,0,0.412,0.588,0,2.118
"ADMINISTRATIVE",2.081,0.054,0.189,0.568,0.027,2.351
"ADMINISTRATIVELY",2.211,0,0.158,0.579,0,2.474
"ADMINISTRATOR",2.176,0,0.647,0.294,0.059,3.176
"ADMIRABLE",2.053,0.105,0.053,2.105,0.053,2.789
"ADMIRABLENESS",1.562,0,0.438,2.312,0.125,2.438
"ADMIRABLY",1.824,0.059,0.235,1.294,0.118,1.647
"ADMIRAL",2.706,0,0.882,0,0.059,3.647
"ADMIRALSHIP",1.125,0,0.438,0.25,0.125,2.125
"ADMIRATION",2.278,0.889,0.778,3,0.5,2.5
"ADMIRE",2.056,0.056,0.389,2.556,0.056,2.611
"ADMIRED",2.333,0,0.722,2.889,0,2.444
"ADMIRER",2.095,0.143,1.048,1.476,0.143,3.238
"ADMIRING",2.647,0.471,0.647,1.706,0.588,2.706
"ADMIRINGLY",1.85,0.2,0.25,1.4,0.15,2.6
"ADMISSIBILITY",1.429,0,0,0.357,0,1.786
"ADMISSIBLE",2.421,0.684,0.789,0.684,0.684,2.158
"ADMISSIBLENESS",2,0.143,0.214,0.929,0.071,1.786
"ADMISSIBLY",1.938,0.312,0.375,0.625,0.312,1.812
"ADMISSION",2.053,0.263,1.316,1.789,0.158,3.053
"ADMISSIVE",1.267,0.2,0,0.6,0,1.467
"ADMIT",2.95,0,0.2,0.3,0,1.7
"ADMITTANCE",3.278,0.056,0.5,0.944,0.111,3.444
"ADMITTED",3.824,0.294,0.294,0.882,0.118,2.588
"ADMITTEDLY",2.235,0,0,0.294,0,1.294
"ADMITTER",3.222,0.056,0.778,0.278,0.056,2.333
"ADMONISHINGLY",3,0.2,0.533,1.333,0.067,2.333
